Gene1,Gene2,Correlation
ENSG00000175445.17,ENSG00000161649.13,0.8813879861245796
ENSG00000211941.3,ENSG00000211938.2,0.881261794522283
ENSG00000241351.3,ENSG00000211648.2,0.8810687505809937
ENSG00000287148.1,ENSG00000133800.9,0.8809730834954259
ENSG00000211943.2,ENSG00000211592.8,0.880946049617009
ENSG00000211598.2,ENSG00000211660.3,0.8807743748611748
ENSG00000165269.13,ENSG00000133800.9,0.8807086182067627
ENSG00000163751.4,ENSG00000197253.13,0.8804293861213108
ENSG00000211445.12,ENSG00000135917.16,0.8804075043690592
ENSG00000101938.15,ENSG00000129596.5,0.880277975996093
ENSG00000239951.1,ENSG00000211660.3,0.8802115629518283
ENSG00000060718.22,ENSG00000230838.1,0.8801632485347624
ENSG00000211662.2,ENSG00000224373.3,0.880151958297285
ENSG00000132465.12,ENSG00000211895.5,0.8800798299745974
ENSG00000241351.3,ENSG00000211660.3,0.8799362548902131
ENSG00000244575.3,ENSG00000243290.3,0.8796207707191741
ENSG00000181092.10,ENSG00000135218.19,0.8793944838159872
ENSG00000163710.9,ENSG00000120049.20,0.8792923992044192
ENSG00000211949.3,ENSG00000211666.2,0.8792510286797138
ENSG00000211897.9,ENSG00000253755.1,0.8791946942450425
ENSG00000184811.4,ENSG00000173641.18,0.878827081935822
ENSG00000211937.3,ENSG00000239951.1,0.87860091709639
ENSG00000168079.17,ENSG00000168497.5,0.8784534248588161
ENSG00000211598.2,ENSG00000211938.2,0.878385507450354
ENSG00000151632.17,ENSG00000187134.14,0.8783566072364416
ENSG00000211941.3,ENSG00000211592.8,0.8782670841355303
ENSG00000211648.2,ENSG00000244437.1,0.8782264811792798
ENSG00000173641.18,ENSG00000004776.13,0.8782126259662185
ENSG00000211938.2,ENSG00000243238.1,0.8782012085538248
ENSG00000196616.14,ENSG00000053438.11,0.8781931028014082
ENSG00000211949.3,ENSG00000243466.1,0.8781304715445732
ENSG00000186081.12,ENSG00000137699.17,0.8780779554307528
ENSG00000167676.4,ENSG00000004776.13,0.8780209617756818
ENSG00000022267.19,ENSG00000129596.5,0.8780142353466532
ENSG00000124664.11,ENSG00000115648.14,0.8780054100996985
ENSG00000173641.18,ENSG00000161649.13,0.8779725973032011
ENSG00000211962.2,ENSG00000211592.8,0.8779513240945204
ENSG00000241351.3,ENSG00000239951.1,0.8778272338341799
ENSG00000174697.5,ENSG00000163710.9,0.8778135568054128
ENSG00000211648.2,ENSG00000211949.3,0.8776415470537358
ENSG00000211598.2,ENSG00000211648.2,0.8776148250362665
ENSG00000175445.17,ENSG00000163710.9,0.8776016543409694
ENSG00000022267.19,ENSG00000163815.6,0.8775845948042249
ENSG00000270550.1,ENSG00000243466.1,0.8774902136464883
ENSG00000170323.9,ENSG00000120049.20,0.8774282550933452
ENSG00000211897.9,ENSG00000211893.4,0.8774020041860482
ENSG00000211966.2,ENSG00000211592.8,0.877243528564943
ENSG00000224373.3,ENSG00000211966.2,0.8771545390505597
ENSG00000241351.3,ENSG00000211938.2,0.8771044211950946
ENSG00000270550.1,ENSG00000211941.3,0.8768623436878467
ENSG00000224373.3,ENSG00000211943.2,0.8766948235986676
ENSG00000211653.2,ENSG00000211677.2,0.8765842760134831
ENSG00000211943.2,ENSG00000211941.3,0.876446540636689
ENSG00000169035.12,ENSG00000167755.15,0.8764460520197174
ENSG00000243466.1,ENSG00000244575.3,0.8764425588302912
ENSG00000211965.4,ENSG00000211660.3,0.876354563346169
ENSG00000211651.3,ENSG00000211660.3,0.8762426655275919
ENSG00000184811.4,ENSG00000135218.19,0.8762408744198159
ENSG00000224650.2,ENSG00000211666.2,0.8760955502155886
ENSG00000211651.3,ENSG00000211592.8,0.8760320327014423
ENSG00000166819.12,ENSG00000175445.17,0.8760105242832208
ENSG00000211660.3,ENSG00000243466.1,0.8758593822474906
ENSG00000135917.16,ENSG00000004776.13,0.8757623942051781
ENSG00000270550.1,ENSG00000211966.2,0.8756625968342384
ENSG00000079435.10,ENSG00000022267.19,0.8756445338174398
ENSG00000123689.6,ENSG00000079435.10,0.8755243760413436
ENSG00000160182.3,ENSG00000160180.15,0.875235157006494
ENSG00000211964.3,ENSG00000211965.4,0.8752040310606202
ENSG00000211964.3,ENSG00000243466.1,0.87519495718821
ENSG00000211592.8,ENSG00000244575.3,0.8747256188372798
ENSG00000211947.2,ENSG00000211592.8,0.8745878663717017
ENSG00000164530.15,ENSG00000125740.14,0.8745608955022803
ENSG00000123689.6,ENSG00000211445.12,0.8744984533428717
ENSG00000211668.2,ENSG00000239951.1,0.8743428177618753
ENSG00000211943.2,ENSG00000243238.1,0.8742575945814504
ENSG00000211899.10,ENSG00000211949.3,0.8742007824172207
ENSG00000157150.5,ENSG00000165269.13,0.8741429360149016
ENSG00000211943.2,ENSG00000211666.2,0.87391541365398
ENSG00000211660.3,ENSG00000211666.2,0.8738904205567786
ENSG00000211959.2,ENSG00000211592.8,0.8738817800861807
ENSG00000211648.2,ENSG00000211938.2,0.8738709481841926
ENSG00000166819.12,ENSG00000135218.19,0.8736281804778729
ENSG00000211598.2,ENSG00000211962.2,0.8735771433110515
ENSG00000211949.3,ENSG00000244437.1,0.8735647545048452
ENSG00000184811.4,ENSG00000168079.17,0.8734916489249563
ENSG00000167588.13,ENSG00000173641.18,0.873414132911024
ENSG00000120049.20,ENSG00000211445.12,0.873370863771256
ENSG00000167588.13,ENSG00000157150.5,0.8733539352671527
ENSG00000133800.9,ENSG00000135917.16,0.8733308827120629
ENSG00000224373.3,ENSG00000243466.1,0.8733027588554187
ENSG00000101938.15,ENSG00000287148.1,0.8732536779502543
