Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,PAM50_subtype
0.0,0.0,0.8903643,0.0,0.0,1.7798293,0.0,3.5098524,0.77291036,0.0,0.0,0.26204193,0.0,1.1412499,0.0,1.594838,2.6776981,0.0,0.0,2.4885154,0.5153811,0.0,0.0,1.9974635,0.0,0.3459531,0.0,0.0,0.038466066,0.0,0.0,0.0,LumB
3.0872917,0.0,0.0,0.0,0.0,0.0,0.0,1.9094124,0.0,0.0,0.0,0.88859785,0.0,0.0,0.0,1.6048093,0.78731877,2.230101,0.0,1.2193013,1.751787,0.79744875,0.48455644,1.2100712,0.0,0.0,0.22262599,0.0,0.0,0.0,0.0,1.229302,Basal
0.0,1.3040473,0.0,1.1363475,0.0,0.0,1.7329857,0.0,0.0,0.0,0.5496008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111387,0.0,0.09142099,0.0,0.0,0.0,0.0,1.4636003,0.36331207,0.0,0.0,1.1047544,1.1461922,0.0,LumB
0.0,0.0,0.0,0.0,1.5256678,2.5025642,0.0,0.39956114,0.0,0.0,0.0,0.0,0.190442,0.19525796,0.0,1.0734798,0.0,0.0,0.0,0.0,0.89217633,0.039571464,1.5936621,0.0,0.0,0.0,0.45256305,2.0594337,0.5724353,0.0,0.0,0.17663911,LumA
0.0,0.0,0.12129539,0.0,0.0,1.8186303,0.0,3.3636646,0.3830058,0.0,0.0,0.5859879,0.0,0.6279874,0.0,0.5632536,2.4081497,0.0,0.0,2.2752638,0.06920835,0.0,0.0,1.4570497,0.0,0.630406,0.0,0.0,0.0068807304,0.0,0.0,0.0,Basal
0.0,1.8337559,0.032396458,0.51456463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31596285,0.0,0.0,0.0,1.4339539,0.0,0.0,0.71129906,0.39827973,0.0,0.23416105,1.806592,0.0,0.11418669,0.0,1.7445929,1.6757908,0.0,Her2
0.0,0.47524235,0.0,0.15808815,0.0,0.7221383,0.0,0.0,0.008455589,0.0,0.0,0.0,0.0,0.0,0.0,0.19709632,0.0,0.0,0.8643216,0.0,0.0,0.0,0.0,0.0,0.36468345,0.48493934,0.614116,0.4122483,0.0,0.0,1.7902709,0.0,Unknown
0.0,0.67662144,0.0,1.1985923,0.21983874,0.21725972,0.6418436,0.0,0.0,0.0,0.62341666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44749907,0.0,0.16622072,0.0,0.0,0.7578723,0.3313695,0.43611822,0.0,0.36413246,0.0,0.06858484,0.7466941,0.0048969686,LumB
0.0,1.2545989,0.45046172,0.41072276,0.0,0.0,0.61094147,0.0,0.0,0.34520787,0.33336225,0.0,0.65555793,0.23396254,0.0,0.0,0.0,0.63263947,0.04825788,0.0,0.0,1.5301228,0.0,0.29023653,0.3472253,0.8728793,0.059917748,0.0,0.0,0.68907964,0.80714893,0.0,Her2
0.0,0.0,1.0947713,0.0,0.0,2.3497946,0.0,0.20186499,1.5570741,0.0,0.0,0.0,0.0,0.0,0.45571008,2.0509696,0.5215902,0.0,0.20953624,0.7625576,0.0,0.0,0.0,0.0,0.0,1.0207744,1.096289,1.0034083,0.0,0.0,0.07723521,0.0,LumA
